Unique_ID,holeid,from,to,Class,As_trunc_flag,As_clean,As_missing_flag,Au_trunc_flag,Au_clean,Au_missing_flag,Pb_trunc_flag,Pb_clean,Pb_missing_flag,Fe_trunc_flag,Fe_clean,Fe_missing_flag,Mo_trunc_flag,Mo_clean,Mo_missing_flag,Cu_trunc_flag,Cu_clean,Cu_missing_flag,S_trunc_flag,S_clean,S_missing_flag,Zn_trunc_flag,Zn_clean,Zn_missing_flag
A03979,SOLVE004,721,731.0,A,0,9.2,1,0,0.106,0,0,715.0,0,0,59500.0,0,0,20.2,0,0,150.4,0,0,2628.8,0,0,416.6,0
A07072,SOLVE004,731,741.0,A,0,9.2,1,0,0.016,0,0,455.6,0,0,63180.0,0,0,76.8,0,0,3.4,0,0,1839.0,0,0,35.6,0
A06655,SOLVE004,741,751.0,A,0,9.2,1,0,0.022,0,0,596.4,0,0,66360.0,0,0,91.0,0,0,3.0,0,0,528.8,0,0,30.0,0
A05665,SOLVE004,751,761.0,A,0,9.2,1,0,0.041,0,0,657.2,0,0,62920.0,0,0,43.0,0,0,3.0,0,0,443.4,0,0,30.6,0
A07320,SOLVE004,761,771.0,A,0,9.2,1,0,0.013,0,0,283.4,0,0,62680.0,0,0,15.4,0,0,3.0,0,0,157.2,0,0,23.6,0
A05021,SOLVE004,771,781.0,A,0,9.2,1,0,0.06,0,0,683.8,0,0,61640.0,0,0,12.6,0,0,3.0,0,0,1679.4,0,0,35.2,0
A05138,SOLVE004,781,791.0,A,0,9.2,1,0,0.056,0,0,854.2,0,0,48120.0,0,0,84.2,0,0,3.0,0,0,1306.6,0,0,47.2,0
A06607,SOLVE004,791,801.0,A,0,9.2,1,0,0.023,0,0,229.6,0,0,49320.0,0,0,13.0,0,0,3.0,0,0,232.6,0,0,33.6,0
A06996,SOLVE004,801,811.0,A,0,9.2,1,0,0.017,0,0,151.4,0,0,47620.0,0,0,19.8,0,0,5.0,0,0,389.8,0,0,52.6,0
A06265,SOLVE004,811,821.0,A,0,9.2,1,0,0.029,0,0,400.0,0,0,45660.0,0,0,9.0,0,0,3.0,0,0,265.2,0,0,30.4,0
A06733,SOLVE004,821,831.0,A,0,9.2,1,0,0.021,0,0,552.4,0,0,46420.0,0,0,118.0,0,0,3.0,0,0,1041.6,0,0,35.4,0
A06787,SOLVE004,831,841.0,A,0,9.2,1,0,0.02,0,0,609.4,0,0,45540.0,0,0,45.6,0,0,64.4,0,0,3099.2,0,0,137.0,0
A07817,SOLVE004,841,847.7,A,0,9.2,1,0,0.008507463,0,0,101.5522388,0,0,48285.07463,0,0,3.805970149,0,0,3.0,0,0,545.4626866,0,0,30.08955224,0
A03674,SOLVE007,561,571.0,A,0,9.2,1,0,0.126,0,0,2328.6,0,0,59860.0,0,0,76.2,0,0,3.0,0,0,2782.0,0,0,29.6,0
A03972,SOLVE007,571,581.0,A,0,9.2,1,0,0.106,0,0,2022.4,0,0,65900.0,0,0,92.0,0,0,40.2,0,0,3717.2,0,0,119.6,0
A04584,SOLVE007,581,591.0,A,0,9.2,1,0,0.076,0,0,2630.0,0,0,51700.0,0,0,36.4,0,0,3.0,0,0,3037.6,0,0,29.6,0
A04769,SOLVE007,591,601.0,A,0,9.2,1,0,0.068,0,0,1457.8,0,0,46280.0,0,0,79.8,0,0,3.0,0,0,1546.0,0,0,27.6,0
A04276,SOLVE007,601,611.0,A,0,9.2,1,0,0.09,0,0,2025.6,0,0,49020.0,1,0,74.2,0,0,3.0,0,0,1517.0,0,0,26.6,0
A05325,SOLVE007,611,621.0,A,0,9.2,1,0,0.05,0,0,1000.2,0,0,61160.0,0,0,31.8,0,0,3.0,0,0,2776.0,0,0,36.8,0
A03530,SOLVE007,621,631.0,A,0,9.2,1,0,0.138,0,0,2868.4,0,0,47500.0,0,0,48.6,0,0,6.4,0,0,3654.0,0,0,43.2,0
A03290,SOLVE007,631,641.0,A,0,9.2,1,0,0.158,0,0,2297.2,0,0,52240.0,0,0,157.0,0,0,3.0,0,0,3311.4,0,0,24.8,0
A04102,SOLVE007,641,651.0,A,0,9.2,1,0,0.1,0,0,2110.0,0,0,58620.0,0,0,102.0,0,0,3.0,0,0,1763.2,0,0,27.2,0
A04445,SOLVE007,651,661.0,A,0,9.2,1,0,0.082,0,0,1037.0,0,0,51660.0,0,0,20.4,0,0,3.0,0,0,1672.4,0,0,29.8,0
A04724,SOLVE007,661,671.0,A,0,9.2,1,0,0.07,0,0,1009.8,0,0,49340.0,0,0,201.6,0,0,3.0,0,0,1279.4,0,0,23.0,0
A03703,SOLVE007,671,677.0,A,0,9.2,1,0,0.123333333,0,0,1935.666667,0,0,52966.66667,0,0,199.3333333,0,0,3.0,0,0,1837.666667,0,0,28.0,0
A05763,SOLVE008,211,221.0,B,0,9.2,1,0,0.039,0,0,9.4,0,0,35160.0,0,0,53.4,0,0,6.8,0,0,33620.0,0,0,48.4,0
A04793,SOLVE008,221,231.0,B,0,9.2,1,0,0.068,0,0,17.6,0,0,119340.0,0,0,136.0,0,0,36.2,0,0,141740.0,0,0,97.8,0
A04067,SOLVE008,231,241.0,B,0,9.2,1,0,0.101,0,0,20.8,0,0,48100.0,0,0,14.6,0,0,10.8,0,0,30240.0,0,0,85.8,0
A07359,SOLVE008,241,251.0,B,0,9.2,1,0,0.013,0,0,14.9,0,0,16380.0,0,0,7.8,0,0,2.2,0,0,8950.0,0,0,53.8,0
A07459,SOLVE008,251,261.0,B,0,9.2,1,0,0.012,0,0,4.7,0,0,16470.0,0,0,3.0,0,0,3.2,0,0,10480.0,0,0,50.8,0
A06759,SOLVE008,261,271.0,B,0,9.2,1,0,0.021,0,0,6.6,0,0,26180.0,0,0,2.0,0,0,4.8,0,0,25330.0,0,0,31.6,0
A06701,SOLVE008,271,281.0,B,0,9.2,1,0,0.022,0,0,23.0,0,0,19040.0,0,0,3.6,0,0,5.2,0,0,12760.0,0,0,90.8,0
A05958,SOLVE008,281,291.0,B,0,9.2,1,0,0.035,0,0,15.0,0,0,31920.0,0,0,7.6,0,0,5.6,0,0,26290.0,0,0,161.6,0
A06457,SOLVE008,291,301.0,B,0,9.2,1,0,0.026,0,0,13.4,0,0,7110.0,0,0,13.8,0,0,27.2,0,0,4190.0,0,0,73.8,0
A05652,SOLVE008,301,311.0,B,0,9.2,1,0,0.042,0,0,9.6,0,0,5360.0,0,0,3.8,0,0,62.4,0,0,3460.0,0,0,123.8,0
A06280,SOLVE008,311,321.0,B,0,9.2,1,0,0.029,0,0,24.2,0,0,10510.0,0,0,13.0,0,0,28.4,0,0,9492.0,0,0,53.0,0
A07276,SOLVE008,321,331.0,B,0,9.2,1,0,0.014,0,0,9.4,0,0,20170.0,0,0,5.0,0,0,10.0,0,0,17080.0,0,0,44.0,0
A06068,SOLVE008,331,341.0,B,0,9.2,1,0,0.033,0,0,13.0,0,0,7650.0,0,0,22.0,0,0,3.6,0,0,3550.0,0,0,31.2,0
A06150,SOLVE008,341,351.0,B,0,9.2,1,0,0.032,0,0,10.6,0,0,8370.0,0,0,15.8,0,0,1.6,0,0,4617.0,0,0,31.4,0
A05674,SOLVE008,351,361.0,B,0,9.2,1,0,0.041,0,0,8.2,0,0,5020.0,0,0,29.8,0,0,4.4,0,0,2553.0,0,0,21.4,0
A06576,SOLVE008,361,371.0,B,0,9.2,1,0,0.024,0,0,14.6,0,0,15910.0,0,0,38.4,0,0,1.6,0,0,9430.0,0,0,48.2,0
A07108,SOLVE008,371,381.0,B,0,9.2,1,0,0.016,0,0,16.4,0,0,41660.0,0,0,2.6,0,0,4.6,0,0,36940.0,0,0,28.8,0
A08197,SOLVE008,381,391.0,B,0,9.2,1,0,0.006,0,0,10.7,0,0,26480.0,0,0,2.6,0,0,4.0,0,0,19430.0,0,0,31.4,0
A06696,SOLVE008,391,401.0,B,0,9.2,1,0,0.022,0,0,12.2,0,0,4790.0,0,0,2.2,0,0,40.6,0,0,1780.0,0,0,62.0,0
A07195,SOLVE008,401,411.0,B,0,9.2,1,0,0.015,0,0,52.8,0,0,5150.0,0,0,4.2,0,0,18.0,0,0,1192.0,0,0,81.0,0
A06172,SOLVE008,411,421.0,B,0,9.2,1,0,0.031,0,0,6.1,0,0,18560.0,0,0,2.4,0,0,15.0,0,0,3180.0,0,0,79.2,0
A05649,SOLVE008,421,431.0,B,0,9.2,1,0,0.042,0,0,6.8,0,0,23160.0,0,0,1.4,0,0,4.8,0,0,4599.0,0,0,65.0,0
A07350,SOLVE008,431,441.0,B,0,9.2,1,0,0.013,0,0,17.8,0,0,16290.0,0,0,9.8,0,0,5.8,0,0,3974.0,0,0,42.0,0
A07880,SOLVE008,441,451.0,B,0,9.2,1,0,0.008,0,0,15.4,0,0,30800.0,0,0,3.4,0,0,5.0,0,0,13240.0,0,0,55.4,0
A07750,SOLVE008,451,461.0,B,0,9.2,1,0,0.009,0,0,27.2,0,0,24720.0,0,0,4.0,0,0,7.2,0,0,11730.0,0,0,64.4,0
A07878,SOLVE008,461,471.0,A,0,9.2,1,0,0.008,0,0,24.8,0,0,24340.0,0,0,5.2,0,0,7.2,0,0,11420.0,0,0,82.8,0
A06066,SOLVE008,471,481.0,A,0,9.2,1,0,0.033,0,0,45.8,0,0,33960.0,0,0,2.8,0,0,5.8,0,0,5738.0,0,0,50.2,0
A06277,SOLVE008,481,491.0,A,0,9.2,1,0,0.029,0,0,118.4,0,0,44820.0,0,0,2.4,0,0,5.8,0,0,16320.0,0,0,48.6,0
A06139,SOLVE008,491,501.0,A,0,9.2,1,0,0.032,0,0,104.0,0,0,33260.0,0,0,3.6,0,0,5.8,0,0,2099.0,0,0,57.0,0
A06447,SOLVE008,501,511.0,A,0,9.2,1,0,0.026,0,0,207.9,0,0,35200.0,0,0,2.6,0,0,3.4,0,0,1205.0,0,0,62.0,0
A06062,SOLVE008,511,521.0,A,0,9.2,1,0,0.033,0,0,90.4,0,0,32220.0,0,0,2.4,0,0,5.0,0,0,4820.0,0,0,46.8,0
A05918,SOLVE008,521,531.0,A,0,9.2,1,0,0.036,0,0,42.2,0,0,32460.0,0,0,2.4,0,0,5.4,0,0,5330.0,0,0,47.0,0
A07445,SOLVE008,531,541.0,A,0,9.2,1,0,0.012,0,0,19.2,0,0,46380.0,0,0,1.4,0,0,9.6,0,0,33920.0,0,0,55.0,0
A08494,SOLVE008,541,551.0,A,0,9.2,1,1,0.0035355339059327372,0,0,108.6,0,0,55720.0,0,0,2.0,0,0,7.2,0,0,37760.0,0,0,54.8,0
A07867,SOLVE008,551,561.0,A,0,9.2,1,0,0.008,0,0,96.0,0,0,59020.0,0,0,1.4,0,0,7.6,0,0,14760.0,0,0,65.2,0
A07184,SOLVE008,561,571.0,A,0,9.2,1,0,0.015,0,0,201.4,0,0,59100.0,0,0,2.2,0,0,6.6,0,0,27000.0,0,0,45.8,0
A07438,SOLVE008,571,581.0,A,0,9.2,1,0,0.012,0,0,173.8,0,0,57680.0,0,0,3.4,0,0,27.6,0,0,10890.0,0,0,32.8,0
A07520,SOLVE008,581,591.0,A,0,9.2,1,0,0.011,0,0,228.4,0,0,49020.0,1,0,22.2,0,0,10.0,0,0,24620.0,0,0,26.8,0
A08474,SOLVE008,591,601.0,A,0,9.2,1,1,0.0035355339059327372,0,0,109.2,0,0,43460.0,0,0,4.8,0,0,9.2,0,0,11190.0,0,0,48.6,0
A07608,SOLVE008,601,611.0,A,0,9.2,1,0,0.01,0,0,195.0,0,0,52300.0,0,0,17.0,0,0,10.4,0,0,33360.0,0,0,30.8,0
A08464,SOLVE008,611,621.0,A,0,9.2,1,1,0.0035355339059327372,0,0,100.0,0,0,41740.0,0,0,2.6,0,0,14.4,0,0,13380.0,0,0,33.0,0
A08457,SOLVE008,621,631.0,A,0,9.2,1,1,0.0035355339059327372,0,0,172.2,0,0,48280.0,0,0,2.8,0,0,12.8,0,0,17370.0,0,0,35.4,0
A08451,SOLVE008,631,641.0,A,0,9.2,1,1,0.0035355339059327372,0,0,223.6,0,0,55620.0,0,0,10.2,0,0,8.8,0,0,25420.0,0,0,39.8,0
A08444,SOLVE008,641,651.0,A,0,9.2,1,1,0.0035355339059327372,0,0,94.0,0,0,56800.0,0,0,6.6,0,0,10.8,0,0,26860.0,0,0,39.0,0
A08437,SOLVE008,651,661.0,A,0,9.2,1,1,0.0035355339059327372,0,0,143.4,0,0,54300.0,0,0,4.8,0,0,13.2,0,0,18720.0,0,0,40.6,0
A08428,SOLVE008,661,671.0,A,0,9.2,1,1,0.0035355339059327372,0,0,182.8,0,0,57480.0,0,0,10.8,0,0,10.4,0,0,17770.0,0,0,48.0,0
A08416,SOLVE008,671,681.0,A,0,9.2,1,1,0.0035355339059327372,0,0,38.6,0,0,55560.0,0,0,4.4,0,0,6.6,0,0,598.0,0,0,29.2,0
A08406,SOLVE008,681,691.0,A,0,9.2,1,1,0.0035355339059327372,0,0,210.2,0,0,66360.0,0,0,8.6,0,0,5.6,0,0,1946.0,0,0,40.8,0
A08397,SOLVE008,691,701.0,A,0,9.2,1,1,0.0035355339059327372,0,0,429.4,0,0,60140.0,0,0,22.4,0,0,8.0,0,0,1780.0,0,0,39.6,0
A08390,SOLVE008,701,711.0,A,0,9.2,1,1,0.0035355339059327372,0,0,188.4,0,0,64740.0,0,0,21.0,0,0,6.2,0,0,2326.0,0,0,78.2,0
A07836,SOLVE008,711,721.0,A,0,9.2,1,0,0.008,0,0,483.2,0,0,59540.0,0,0,33.4,0,0,8.4,0,0,2366.0,0,0,43.2,0
A07712,SOLVE008,721,731.0,A,0,9.2,1,0,0.009,0,0,231.8,0,0,45280.0,0,0,5.8,0,0,8.0,0,0,10196.0,0,0,30.8,0
A07237,SOLVE008,731,741.0,A,0,9.2,1,0,0.014,0,0,229.0,0,0,43960.0,0,0,8.8,0,0,8.4,0,0,19950.0,0,0,33.8,0
A07319,SOLVE008,741,751.0,A,0,9.2,1,0,0.013,0,0,278.0,0,0,69860.0,0,0,8.2,0,0,9.6,0,0,32560.0,0,0,23.8,0
A07317,SOLVE008,751,761.0,A,0,9.2,1,0,0.013,0,0,209.8,0,0,62340.0,0,0,7.0,0,0,5.6,0,0,13070.0,0,0,28.2,0
A07706,SOLVE008,761,771.0,A,0,9.2,1,0,0.009,0,0,209.0,0,0,68160.0,0,0,5.6,0,0,46.0,0,0,17560.0,0,0,29.8,0
A04548,SOLVE008,771,781.0,A,0,9.2,1,0,0.078,0,0,842.0,0,0,74640.0,0,0,7.2,0,0,25.4,0,0,29220.0,0,0,60.0,0
A05876,SOLVE008,781,791.0,A,0,9.2,1,0,0.036,0,0,770.0,0,0,78940.0,0,0,9.6,0,0,8.8,0,0,18240.0,0,0,29.8,0
A05251,SOLVE008,791,801.0,A,0,9.2,1,0,0.052,0,0,1026.0,0,0,48080.0,0,0,14.4,0,0,188.0,0,0,8350.0,0,0,27.8,0
A03613,SOLVE008,801,811.0,A,0,9.2,1,0,0.132,0,0,2554.0,0,0,66320.0,0,0,27.8,0,0,7.6,0,0,17540.0,0,0,35.2,0
A05780,SOLVE008,811,821.0,A,0,9.2,1,0,0.038,0,0,670.0,0,0,68320.0,0,0,9.2,0,0,6.8,0,0,9570.0,0,0,28.6,0
A04466,SOLVE008,821,831.0,A,0,9.2,1,0,0.081,0,0,1449.0,0,0,57800.0,0,0,26.4,0,0,6.4,0,0,2310.0,0,0,29.4,0
A04575,SOLVE008,831,841.0,A,0,9.2,1,0,0.076,0,0,1154.0,0,0,50460.0,0,0,34.2,0,0,9.8,0,0,1944.0,0,0,47.8,0
A05006,SOLVE010,521,531.0,A,0,9.2,1,0,0.06,0,0,1894.0,0,0,47180.0,0,0,31.6,0,0,11.6,0,0,3940.0,0,0,33.2,0
A04879,SOLVE010,531,541.0,A,0,9.2,1,0,0.064,0,0,1180.0,0,0,56720.0,0,0,50.8,0,0,8.8,0,0,16540.0,0,0,25.8,0
A05608,SOLVE010,541,551.0,A,0,9.2,1,0,0.042,0,0,876.0,0,0,87940.0,0,0,18.8,0,0,3.6,0,0,4459.0,0,0,22.8,0
A05176,SOLVE010,551,561.0,A,0,9.2,1,0,0.054,0,0,1112.0,0,0,86900.0,0,0,43.2,0,0,4.4,0,0,1557.0,0,0,24.6,0
A04852,SOLVE011,791,801.0,A,0,9.2,1,0,0.065,0,0,1223.0,0,0,52220.0,0,0,14.4,0,0,4.4,0,0,24480.0,0,0,18.2,0
A04020,SOLVE011,801,811.0,A,0,9.2,1,0,0.104,0,0,1556.0,0,0,57460.0,0,0,24.8,0,0,4.0,0,0,40480.0,0,0,20.0,0
A05123,SOLVE011,811,821.0,A,0,9.2,1,0,0.056,0,0,929.2,0,0,58400.0,0,0,15.4,0,0,4.8,0,0,46860.0,0,0,15.8,0
A05510,SOLVE011,821,831.0,A,0,9.2,1,0,0.045,0,0,730.8,0,0,45780.0,0,0,16.6,0,0,5.2,0,0,29600.0,0,0,18.0,0
A05983,SOLVE011,831,841.0,A,0,9.2,1,0,0.034,0,0,349.0,0,0,66260.0,0,0,9.4,0,0,7.2,0,0,33760.0,0,0,21.0,0
A05793,SOLVE011,841,851.0,A,0,9.2,1,0,0.038,0,0,299.0,0,0,71820.0,0,0,2.2,0,0,5.2,0,0,24030.0,0,0,22.6,0
A06490,SOLVE011,851,861.0,A,0,9.2,1,0,0.025,0,0,292.0,0,0,63540.0,0,0,1.4,0,0,26.8,0,0,21880.0,0,0,32.6,0
A04362,SOLVE015,861,871.0,A,0,9.2,1,0,0.086,0,0,1352.4,0,0,45520.0,0,0,3.0,0,0,3.0,0,0,1476.0,0,0,24.0,0
A04273,SOLVE015,871,881.0,A,0,9.2,1,0,0.09,0,0,1602.8,0,0,42860.0,0,0,3.0,0,0,3.0,0,0,2063.6,0,0,24.8,0
A02928,SOLVE015,881,891.0,A,0,9.2,1,0,0.194,0,0,1352.6,0,0,47060.0,0,0,4.0,0,0,15.0,0,0,7856.6,0,0,98.8,0
A03783,SOLVE015,891,901.0,A,0,9.2,1,0,0.118,0,0,1598.0,0,0,46640.0,0,0,3.8,0,0,3.0,0,0,4310.0,0,0,36.4,0
A03884,SOLVE015,901,910.5,A,0,9.2,1,0,0.111578947,0,0,2028.421053,0,0,38442.10526,0,0,8.0,0,0,3.0,0,0,3345.157895,0,0,22.63157895,0
A03549,SOLVE016,671,681.0,A,0,9.2,1,0,0.136,0,0,1282.0,0,0,56700.0,0,0,18.2,0,0,50.6,0,0,6258.0,0,0,131.0,0
A04164,SOLVE016,681,691.0,A,0,9.2,1,0,0.096,0,0,1268.2,0,0,60200.0,0,0,3.0,0,0,3.0,0,0,2986.0,0,0,85.2,0
A05387,SOLVE016,691,701.0,A,0,9.2,1,0,0.048,0,0,789.6,0,0,58920.0,0,0,9.6,0,0,3.0,0,0,1890.2,0,0,64.6,0
A04722,SOLVE016,701,711.0,A,0,9.2,1,0,0.07,0,0,1070.8,0,0,53960.0,0,0,52.6,0,0,3.0,0,0,600.4,0,0,31.2,0
A04678,SOLVE016,711,721.0,A,0,9.2,1,0,0.072,0,0,2069.8,0,0,57460.0,0,0,19.8,0,0,3.0,0,0,1875.4,0,0,40.4,0
A04441,SOLVE016,721,731.0,A,0,9.2,1,0,0.082,0,0,1900.0,0,0,45920.0,0,0,9.0,0,0,3.0,0,0,2888.0,0,0,30.8,0
A05014,SOLVE016,731,741.0,A,0,9.2,1,0,0.06,0,0,1229.4,0,0,64040.0,0,0,18.2,0,0,3.0,0,0,1699.6,0,0,38.2,0
A04168,SOLVE016,741,751.0,A,0,9.2,1,0,0.096,0,0,1378.2,0,0,69420.0,0,0,34.0,0,0,4.4,0,0,12148.0,0,0,69.8,0
A04945,SOLVE016,751,761.0,A,0,9.2,1,0,0.062,0,0,1357.6,0,0,56180.0,0,0,6.0,0,0,3.0,0,0,1195.2,0,0,28.4,0
A04595,SOLVE016,761,771.0,A,0,9.2,1,0,0.076,0,0,1546.4,0,0,57380.0,0,0,9.8,0,0,3.0,0,0,2062.4,0,0,27.6,0
A05023,SOLVE016,771,781.0,A,0,9.2,1,0,0.06,0,0,1433.6,0,0,61580.0,0,0,10.2,0,0,3.0,0,0,5189.4,0,0,54.6,0
A03315,SOLVE016,781,791.0,A,0,9.2,1,0,0.156,0,0,3395.2,0,0,57800.0,0,0,33.6,0,0,3.0,0,0,3067.4,0,0,32.2,0
A03359,SOLVE016,791,801.0,A,0,9.2,1,0,0.152,0,0,3978.2,0,0,55900.0,0,0,8.6,0,0,3.4,0,0,5356.0,0,0,49.4,0
A06999,SOLVE017,1141,1151.0,A,0,9.2,1,0,0.017,0,0,57.4,0,0,42120.0,0,0,2.8,0,0,7.6,0,0,3510.0,0,0,27.0,0
A08124,SOLVE017,1151,1161.0,A,0,9.2,1,0,0.006,0,0,104.2,0,0,43820.0,0,0,4.2,0,0,8.8,0,0,4720.0,0,0,31.4,0
A07591,SOLVE017,1161,1171.0,A,0,9.2,1,0,0.01,0,0,218.2,0,0,39120.0,0,0,3.0,0,0,8.8,0,0,8504.0,0,0,31.0,0
A07720,SOLVE017,1171,1181.0,A,0,9.2,1,0,0.009,0,0,210.8,0,0,48020.0,0,0,5.0,0,0,10.4,0,0,1280.0,0,0,43.0,0
A08133,SOLVE017,1181,1191.0,A,0,9.2,1,0,0.006,0,0,160.6,0,0,39360.0,0,0,3.6,0,0,5.2,0,0,476.0,0,0,37.4,0
A07595,SOLVE017,1191,1201.0,A,0,9.2,1,0,0.01,0,0,181.8,0,0,39720.0,0,0,3.6,0,0,10.4,0,0,464.0,0,0,38.8,0
A08427,SOLVE017,1201,1211.0,A,0,9.2,1,1,0.0035355339059327372,0,0,142.8,0,0,39140.0,0,0,3.0,0,0,14.0,0,0,410.0,0,0,42.2,0
A08432,SOLVE017,1211,1221.0,A,0,9.2,1,1,0.0035355339059327372,0,0,112.4,0,0,40700.0,0,0,2.8,0,0,14.8,0,0,418.0,0,0,51.4,0
A08138,SOLVE017,1221,1231.0,A,0,9.2,1,0,0.006,0,0,145.0,0,0,41820.0,0,0,3.6,0,0,10.8,0,0,332.0,0,0,53.6,0
A07515,SOLVE017,1231,1241.0,A,0,9.2,1,0,0.011,0,0,156.0,0,0,49020.0,1,0,3.6,0,0,16.8,0,0,306.0,0,0,62.6,0
A07154,SOLVE021,811,821.0,A,0,9.2,1,0,0.015,0,0,86.2,0,0,91520.0,0,0,12.6,0,0,6.0,0,0,74980.0,0,0,16.8,0
A07702,SOLVE021,821,831.0,A,0,9.2,1,0,0.009,0,0,522.0,0,0,91260.0,0,0,3.6,0,0,6.8,0,0,60420.0,0,0,29.2,0
A06646,SOLVE021,831,841.0,A,0,9.2,1,0,0.022,0,0,180.4,0,0,79300.0,0,0,2.2,0,0,6.4,0,0,50700.0,0,0,32.6,0
A06303,SOLVE021,841,851.0,A,0,9.2,1,0,0.028,0,0,264.0,0,0,72600.0,0,0,2.6,0,0,6.4,0,0,48060.0,0,0,36.6,0
A07230,SOLVE021,851,861.0,A,0,9.2,1,0,0.014,0,0,150.8,0,0,74460.0,0,0,5.0,0,0,5.2,0,0,44940.0,0,0,34.2,0
A07399,SOLVE021,861,871.0,A,0,9.2,1,0,0.012,0,0,169.6,0,0,66480.0,0,0,2.0,0,0,5.2,0,0,34540.0,0,0,30.8,0
A06606,SOLVE021,871,881.0,A,0,9.2,1,0,0.023,0,0,128.2,0,0,74360.0,0,0,2.8,0,0,8.0,0,0,30840.0,0,0,37.4,0
