Unique_ID,holeid,from,to,As,Au,Pb,Fe,Mo,Cu,S,Zn,Class,As_raw,As_trunc_flag,As_clean,As_missing_flag,Au_raw,Au_trunc_flag,Au_clean,Au_missing_flag,Pb_raw,Pb_trunc_flag,Pb_clean,Pb_missing_flag,Fe_raw,Fe_trunc_flag,Fe_clean,Fe_missing_flag,Mo_raw,Mo_trunc_flag,Mo_clean,Mo_missing_flag,Cu_raw,Cu_trunc_flag,Cu_clean,Cu_missing_flag,S_raw,S_trunc_flag,S_clean,S_missing_flag,Zn_raw,Zn_trunc_flag,Zn_clean,Zn_missing_flag
A03979,SOLVE004,721,731.0,,0.106,715.0,59500.0,20.2,150.4,2628.8,416.6,A,nan,0,9.2,1,0.106,0,0.106,0,715.0,0,715.0,0,59500.0,0,59500.0,0,20.2,0,20.2,0,150.4,0,150.4,0,2628.8,0,2628.8,0,416.6,0,416.6,0
A07072,SOLVE004,731,741.0,,0.016,455.6,63180.0,76.8,3.4,1839.0,35.6,A,nan,0,9.2,1,0.016,0,0.016,0,455.6,0,455.6,0,63180.0,0,63180.0,0,76.8,0,76.8,0,3.4,0,3.4,0,1839.0,0,1839.0,0,35.6,0,35.6,0
A06655,SOLVE004,741,751.0,,0.022,596.4,66360.0,91.0,3.0,528.8,30.0,A,nan,0,9.2,1,0.022,0,0.022,0,596.4,0,596.4,0,66360.0,0,66360.0,0,91.0,0,91.0,0,3.0,0,3.0,0,528.8,0,528.8,0,30.0,0,30.0,0
A05665,SOLVE004,751,761.0,,0.041,657.2,62920.0,43.0,3.0,443.4,30.6,A,nan,0,9.2,1,0.041,0,0.041,0,657.2,0,657.2,0,62920.0,0,62920.0,0,43.0,0,43.0,0,3.0,0,3.0,0,443.4,0,443.4,0,30.6,0,30.6,0
A07320,SOLVE004,761,771.0,,0.013,283.4,62680.0,15.4,3.0,157.2,23.6,A,nan,0,9.2,1,0.013,0,0.013,0,283.4,0,283.4,0,62680.0,0,62680.0,0,15.4,0,15.4,0,3.0,0,3.0,0,157.2,0,157.2,0,23.6,0,23.6,0
A05021,SOLVE004,771,781.0,,0.06,683.8,61640.0,12.6,3.0,1679.4,35.2,A,nan,0,9.2,1,0.06,0,0.06,0,683.8,0,683.8,0,61640.0,0,61640.0,0,12.6,0,12.6,0,3.0,0,3.0,0,1679.4,0,1679.4,0,35.2,0,35.2,0
A05138,SOLVE004,781,791.0,,0.056,854.2,48120.0,84.2,3.0,1306.6,47.2,A,nan,0,9.2,1,0.056,0,0.056,0,854.2,0,854.2,0,48120.0,0,48120.0,0,84.2,0,84.2,0,3.0,0,3.0,0,1306.6,0,1306.6,0,47.2,0,47.2,0
A06607,SOLVE004,791,801.0,,0.023,229.6,49320.0,13.0,3.0,232.6,33.6,A,nan,0,9.2,1,0.023,0,0.023,0,229.6,0,229.6,0,49320.0,0,49320.0,0,13.0,0,13.0,0,3.0,0,3.0,0,232.6,0,232.6,0,33.6,0,33.6,0
A06996,SOLVE004,801,811.0,,0.017,151.4,47620.0,19.8,5.0,389.8,52.6,A,nan,0,9.2,1,0.017,0,0.017,0,151.4,0,151.4,0,47620.0,0,47620.0,0,19.8,0,19.8,0,5.0,0,5.0,0,389.8,0,389.8,0,52.6,0,52.6,0
A06265,SOLVE004,811,821.0,,0.029,400.0,45660.0,9.0,3.0,265.2,30.4,A,nan,0,9.2,1,0.029,0,0.029,0,400.0,0,400.0,0,45660.0,0,45660.0,0,9.0,0,9.0,0,3.0,0,3.0,0,265.2,0,265.2,0,30.4,0,30.4,0
A06733,SOLVE004,821,831.0,,0.021,552.4,46420.0,118.0,3.0,1041.6,35.4,A,nan,0,9.2,1,0.021,0,0.021,0,552.4,0,552.4,0,46420.0,0,46420.0,0,118.0,0,118.0,0,3.0,0,3.0,0,1041.6,0,1041.6,0,35.4,0,35.4,0
A06787,SOLVE004,831,841.0,,0.02,609.4,45540.0,45.6,64.4,3099.2,137.0,A,nan,0,9.2,1,0.02,0,0.02,0,609.4,0,609.4,0,45540.0,0,45540.0,0,45.6,0,45.6,0,64.4,0,64.4,0,3099.2,0,3099.2,0,137.0,0,137.0,0
A07817,SOLVE004,841,847.7,,0.008507463,101.5522388,48285.07463,3.805970149,3.0,545.4626866,30.08955224,A,nan,0,9.2,1,0.008507463,0,0.008507463,0,101.5522388,0,101.5522388,0,48285.07463,0,48285.07463,0,3.805970149,0,3.805970149,0,3.0,0,3.0,0,545.4626866,0,545.4626866,0,30.08955224,0,30.08955224,0
A03674,SOLVE007,561,571.0,,0.126,2328.6,59860.0,76.2,3.0,2782.0,29.6,A,nan,0,9.2,1,0.126,0,0.126,0,2328.6,0,2328.6,0,59860.0,0,59860.0,0,76.2,0,76.2,0,3.0,0,3.0,0,2782.0,0,2782.0,0,29.6,0,29.6,0
A03972,SOLVE007,571,581.0,,0.106,2022.4,65900.0,92.0,40.2,3717.2,119.6,A,nan,0,9.2,1,0.106,0,0.106,0,2022.4,0,2022.4,0,65900.0,0,65900.0,0,92.0,0,92.0,0,40.2,0,40.2,0,3717.2,0,3717.2,0,119.6,0,119.6,0
A04584,SOLVE007,581,591.0,,0.076,2630.0,51700.0,36.4,3.0,3037.6,29.6,A,nan,0,9.2,1,0.076,0,0.076,0,2630.0,0,2630.0,0,51700.0,0,51700.0,0,36.4,0,36.4,0,3.0,0,3.0,0,3037.6,0,3037.6,0,29.6,0,29.6,0
A04769,SOLVE007,591,601.0,,0.068,1457.8,46280.0,79.8,3.0,1546.0,27.6,A,nan,0,9.2,1,0.068,0,0.068,0,1457.8,0,1457.8,0,46280.0,0,46280.0,0,79.8,0,79.8,0,3.0,0,3.0,0,1546.0,0,1546.0,0,27.6,0,27.6,0
A04276,SOLVE007,601,611.0,,0.09,2025.6,,74.2,3.0,1517.0,26.6,A,nan,0,9.2,1,0.09,0,0.09,0,2025.6,0,2025.6,0,nan,0,49020.0,1,74.2,0,74.2,0,3.0,0,3.0,0,1517.0,0,1517.0,0,26.6,0,26.6,0
A05325,SOLVE007,611,621.0,,0.05,1000.2,61160.0,31.8,3.0,2776.0,36.8,A,nan,0,9.2,1,0.05,0,0.05,0,1000.2,0,1000.2,0,61160.0,0,61160.0,0,31.8,0,31.8,0,3.0,0,3.0,0,2776.0,0,2776.0,0,36.8,0,36.8,0
A03530,SOLVE007,621,631.0,,0.138,2868.4,47500.0,48.6,6.4,3654.0,43.2,A,nan,0,9.2,1,0.138,0,0.138,0,2868.4,0,2868.4,0,47500.0,0,47500.0,0,48.6,0,48.6,0,6.4,0,6.4,0,3654.0,0,3654.0,0,43.2,0,43.2,0
A03290,SOLVE007,631,641.0,,0.158,2297.2,52240.0,157.0,3.0,3311.4,24.8,A,nan,0,9.2,1,0.158,0,0.158,0,2297.2,0,2297.2,0,52240.0,0,52240.0,0,157.0,0,157.0,0,3.0,0,3.0,0,3311.4,0,3311.4,0,24.8,0,24.8,0
A04102,SOLVE007,641,651.0,,0.1,2110.0,58620.0,102.0,3.0,1763.2,27.2,A,nan,0,9.2,1,0.1,0,0.1,0,2110.0,0,2110.0,0,58620.0,0,58620.0,0,102.0,0,102.0,0,3.0,0,3.0,0,1763.2,0,1763.2,0,27.2,0,27.2,0
A04445,SOLVE007,651,661.0,,0.082,1037.0,51660.0,20.4,3.0,1672.4,29.8,A,nan,0,9.2,1,0.082,0,0.082,0,1037.0,0,1037.0,0,51660.0,0,51660.0,0,20.4,0,20.4,0,3.0,0,3.0,0,1672.4,0,1672.4,0,29.8,0,29.8,0
A04724,SOLVE007,661,671.0,,0.07,1009.8,49340.0,201.6,3.0,1279.4,23.0,A,nan,0,9.2,1,0.07,0,0.07,0,1009.8,0,1009.8,0,49340.0,0,49340.0,0,201.6,0,201.6,0,3.0,0,3.0,0,1279.4,0,1279.4,0,23.0,0,23.0,0
A03703,SOLVE007,671,677.0,,0.123333333,1935.666667,52966.66667,199.3333333,3.0,1837.666667,28.0,A,nan,0,9.2,1,0.123333333,0,0.123333333,0,1935.666667,0,1935.666667,0,52966.66667,0,52966.66667,0,199.3333333,0,199.3333333,0,3.0,0,3.0,0,1837.666667,0,1837.666667,0,28.0,0,28.0,0
A05763,SOLVE008,211,221.0,,0.039,9.4,35160.0,53.4,6.8,33620.0,48.4,B,nan,0,9.2,1,0.039,0,0.039,0,9.4,0,9.4,0,35160.0,0,35160.0,0,53.4,0,53.4,0,6.8,0,6.8,0,33620.0,0,33620.0,0,48.4,0,48.4,0
A04793,SOLVE008,221,231.0,,0.068,17.6,119340.0,136.0,36.2,141740.0,97.8,B,nan,0,9.2,1,0.068,0,0.068,0,17.6,0,17.6,0,119340.0,0,119340.0,0,136.0,0,136.0,0,36.2,0,36.2,0,141740.0,0,141740.0,0,97.8,0,97.8,0
A04067,SOLVE008,231,241.0,,0.101,20.8,48100.0,14.6,10.8,30240.0,85.8,B,nan,0,9.2,1,0.101,0,0.101,0,20.8,0,20.8,0,48100.0,0,48100.0,0,14.6,0,14.6,0,10.8,0,10.8,0,30240.0,0,30240.0,0,85.8,0,85.8,0
A07359,SOLVE008,241,251.0,,0.013,14.9,16380.0,7.8,2.2,8950.0,53.8,B,nan,0,9.2,1,0.013,0,0.013,0,14.9,0,14.9,0,16380.0,0,16380.0,0,7.8,0,7.8,0,2.2,0,2.2,0,8950.0,0,8950.0,0,53.8,0,53.8,0
A07459,SOLVE008,251,261.0,,0.012,4.7,16470.0,3.0,3.2,10480.0,50.8,B,nan,0,9.2,1,0.012,0,0.012,0,4.7,0,4.7,0,16470.0,0,16470.0,0,3.0,0,3.0,0,3.2,0,3.2,0,10480.0,0,10480.0,0,50.8,0,50.8,0
A06759,SOLVE008,261,271.0,,0.021,6.6,26180.0,2.0,4.8,25330.0,31.6,B,nan,0,9.2,1,0.021,0,0.021,0,6.6,0,6.6,0,26180.0,0,26180.0,0,2.0,0,2.0,0,4.8,0,4.8,0,25330.0,0,25330.0,0,31.6,0,31.6,0
A06701,SOLVE008,271,281.0,,0.022,23.0,19040.0,3.6,5.2,12760.0,90.8,B,nan,0,9.2,1,0.022,0,0.022,0,23.0,0,23.0,0,19040.0,0,19040.0,0,3.6,0,3.6,0,5.2,0,5.2,0,12760.0,0,12760.0,0,90.8,0,90.8,0
A05958,SOLVE008,281,291.0,,0.035,15.0,31920.0,7.6,5.6,26290.0,161.6,B,nan,0,9.2,1,0.035,0,0.035,0,15.0,0,15.0,0,31920.0,0,31920.0,0,7.6,0,7.6,0,5.6,0,5.6,0,26290.0,0,26290.0,0,161.6,0,161.6,0
A06457,SOLVE008,291,301.0,,0.026,13.4,7110.0,13.8,27.2,4190.0,73.8,B,nan,0,9.2,1,0.026,0,0.026,0,13.4,0,13.4,0,7110.0,0,7110.0,0,13.8,0,13.8,0,27.2,0,27.2,0,4190.0,0,4190.0,0,73.8,0,73.8,0
A05652,SOLVE008,301,311.0,,0.042,9.6,5360.0,3.8,62.4,3460.0,123.8,B,nan,0,9.2,1,0.042,0,0.042,0,9.6,0,9.6,0,5360.0,0,5360.0,0,3.8,0,3.8,0,62.4,0,62.4,0,3460.0,0,3460.0,0,123.8,0,123.8,0
A06280,SOLVE008,311,321.0,,0.029,24.2,10510.0,13.0,28.4,9492.0,53.0,B,nan,0,9.2,1,0.029,0,0.029,0,24.2,0,24.2,0,10510.0,0,10510.0,0,13.0,0,13.0,0,28.4,0,28.4,0,9492.0,0,9492.0,0,53.0,0,53.0,0
A07276,SOLVE008,321,331.0,,0.014,9.4,20170.0,5.0,10.0,17080.0,44.0,B,nan,0,9.2,1,0.014,0,0.014,0,9.4,0,9.4,0,20170.0,0,20170.0,0,5.0,0,5.0,0,10.0,0,10.0,0,17080.0,0,17080.0,0,44.0,0,44.0,0
A06068,SOLVE008,331,341.0,,0.033,13.0,7650.0,22.0,3.6,3550.0,31.2,B,nan,0,9.2,1,0.033,0,0.033,0,13.0,0,13.0,0,7650.0,0,7650.0,0,22.0,0,22.0,0,3.6,0,3.6,0,3550.0,0,3550.0,0,31.2,0,31.2,0
A06150,SOLVE008,341,351.0,,0.032,10.6,8370.0,15.8,1.6,4617.0,31.4,B,nan,0,9.2,1,0.032,0,0.032,0,10.6,0,10.6,0,8370.0,0,8370.0,0,15.8,0,15.8,0,1.6,0,1.6,0,4617.0,0,4617.0,0,31.4,0,31.4,0
A05674,SOLVE008,351,361.0,,0.041,8.2,5020.0,29.8,4.4,2553.0,21.4,B,nan,0,9.2,1,0.041,0,0.041,0,8.2,0,8.2,0,5020.0,0,5020.0,0,29.8,0,29.8,0,4.4,0,4.4,0,2553.0,0,2553.0,0,21.4,0,21.4,0
A06576,SOLVE008,361,371.0,,0.024,14.6,15910.0,38.4,1.6,9430.0,48.2,B,nan,0,9.2,1,0.024,0,0.024,0,14.6,0,14.6,0,15910.0,0,15910.0,0,38.4,0,38.4,0,1.6,0,1.6,0,9430.0,0,9430.0,0,48.2,0,48.2,0
A07108,SOLVE008,371,381.0,,0.016,16.4,41660.0,2.6,4.6,36940.0,28.8,B,nan,0,9.2,1,0.016,0,0.016,0,16.4,0,16.4,0,41660.0,0,41660.0,0,2.6,0,2.6,0,4.6,0,4.6,0,36940.0,0,36940.0,0,28.8,0,28.8,0
A08197,SOLVE008,381,391.0,,0.006,10.7,26480.0,2.6,4.0,19430.0,31.4,B,nan,0,9.2,1,0.006,0,0.006,0,10.7,0,10.7,0,26480.0,0,26480.0,0,2.6,0,2.6,0,4.0,0,4.0,0,19430.0,0,19430.0,0,31.4,0,31.4,0
A06696,SOLVE008,391,401.0,,0.022,12.2,4790.0,2.2,40.6,1780.0,62.0,B,nan,0,9.2,1,0.022,0,0.022,0,12.2,0,12.2,0,4790.0,0,4790.0,0,2.2,0,2.2,0,40.6,0,40.6,0,1780.0,0,1780.0,0,62.0,0,62.0,0
A07195,SOLVE008,401,411.0,,0.015,52.8,5150.0,4.2,18.0,1192.0,81.0,B,nan,0,9.2,1,0.015,0,0.015,0,52.8,0,52.8,0,5150.0,0,5150.0,0,4.2,0,4.2,0,18.0,0,18.0,0,1192.0,0,1192.0,0,81.0,0,81.0,0
A06172,SOLVE008,411,421.0,,0.031,6.1,18560.0,2.4,15.0,3180.0,79.2,B,nan,0,9.2,1,0.031,0,0.031,0,6.1,0,6.1,0,18560.0,0,18560.0,0,2.4,0,2.4,0,15.0,0,15.0,0,3180.0,0,3180.0,0,79.2,0,79.2,0
A05649,SOLVE008,421,431.0,,0.042,6.8,23160.0,1.4,4.8,4599.0,65.0,B,nan,0,9.2,1,0.042,0,0.042,0,6.8,0,6.8,0,23160.0,0,23160.0,0,1.4,0,1.4,0,4.8,0,4.8,0,4599.0,0,4599.0,0,65.0,0,65.0,0
A07350,SOLVE008,431,441.0,,0.013,17.8,16290.0,9.8,5.8,3974.0,42.0,B,nan,0,9.2,1,0.013,0,0.013,0,17.8,0,17.8,0,16290.0,0,16290.0,0,9.8,0,9.8,0,5.8,0,5.8,0,3974.0,0,3974.0,0,42.0,0,42.0,0
A07880,SOLVE008,441,451.0,,0.008,15.4,30800.0,3.4,5.0,13240.0,55.4,B,nan,0,9.2,1,0.008,0,0.008,0,15.4,0,15.4,0,30800.0,0,30800.0,0,3.4,0,3.4,0,5.0,0,5.0,0,13240.0,0,13240.0,0,55.4,0,55.4,0
A07750,SOLVE008,451,461.0,,0.009,27.2,24720.0,4.0,7.2,11730.0,64.4,B,nan,0,9.2,1,0.009,0,0.009,0,27.2,0,27.2,0,24720.0,0,24720.0,0,4.0,0,4.0,0,7.2,0,7.2,0,11730.0,0,11730.0,0,64.4,0,64.4,0
A07878,SOLVE008,461,471.0,,0.008,24.8,24340.0,5.2,7.2,11420.0,82.8,A,nan,0,9.2,1,0.008,0,0.008,0,24.8,0,24.8,0,24340.0,0,24340.0,0,5.2,0,5.2,0,7.2,0,7.2,0,11420.0,0,11420.0,0,82.8,0,82.8,0
A06066,SOLVE008,471,481.0,,0.033,45.8,33960.0,2.8,5.8,5738.0,50.2,A,nan,0,9.2,1,0.033,0,0.033,0,45.8,0,45.8,0,33960.0,0,33960.0,0,2.8,0,2.8,0,5.8,0,5.8,0,5738.0,0,5738.0,0,50.2,0,50.2,0
A06277,SOLVE008,481,491.0,,0.029,118.4,44820.0,2.4,5.8,16320.0,48.6,A,nan,0,9.2,1,0.029,0,0.029,0,118.4,0,118.4,0,44820.0,0,44820.0,0,2.4,0,2.4,0,5.8,0,5.8,0,16320.0,0,16320.0,0,48.6,0,48.6,0
A06139,SOLVE008,491,501.0,,0.032,104.0,33260.0,3.6,5.8,2099.0,57.0,A,nan,0,9.2,1,0.032,0,0.032,0,104.0,0,104.0,0,33260.0,0,33260.0,0,3.6,0,3.6,0,5.8,0,5.8,0,2099.0,0,2099.0,0,57.0,0,57.0,0
A06447,SOLVE008,501,511.0,,0.026,207.9,35200.0,2.6,3.4,1205.0,62.0,A,nan,0,9.2,1,0.026,0,0.026,0,207.9,0,207.9,0,35200.0,0,35200.0,0,2.6,0,2.6,0,3.4,0,3.4,0,1205.0,0,1205.0,0,62.0,0,62.0,0
A06062,SOLVE008,511,521.0,,0.033,90.4,32220.0,2.4,5.0,4820.0,46.8,A,nan,0,9.2,1,0.033,0,0.033,0,90.4,0,90.4,0,32220.0,0,32220.0,0,2.4,0,2.4,0,5.0,0,5.0,0,4820.0,0,4820.0,0,46.8,0,46.8,0
A05918,SOLVE008,521,531.0,,0.036,42.2,32460.0,2.4,5.4,5330.0,47.0,A,nan,0,9.2,1,0.036,0,0.036,0,42.2,0,42.2,0,32460.0,0,32460.0,0,2.4,0,2.4,0,5.4,0,5.4,0,5330.0,0,5330.0,0,47.0,0,47.0,0
A07445,SOLVE008,531,541.0,,0.012,19.2,46380.0,1.4,9.6,33920.0,55.0,A,nan,0,9.2,1,0.012,0,0.012,0,19.2,0,19.2,0,46380.0,0,46380.0,0,1.4,0,1.4,0,9.6,0,9.6,0,33920.0,0,33920.0,0,55.0,0,55.0,0
A08494,SOLVE008,541,551.0,,<0.005,108.6,55720.0,2.0,7.2,37760.0,54.8,A,nan,0,9.2,1,<0.005,1,0.0035355339059327372,0,108.6,0,108.6,0,55720.0,0,55720.0,0,2.0,0,2.0,0,7.2,0,7.2,0,37760.0,0,37760.0,0,54.8,0,54.8,0
A07867,SOLVE008,551,561.0,,0.008,96.0,59020.0,1.4,7.6,14760.0,65.2,A,nan,0,9.2,1,0.008,0,0.008,0,96.0,0,96.0,0,59020.0,0,59020.0,0,1.4,0,1.4,0,7.6,0,7.6,0,14760.0,0,14760.0,0,65.2,0,65.2,0
A07184,SOLVE008,561,571.0,,0.015,201.4,59100.0,2.2,6.6,27000.0,45.8,A,nan,0,9.2,1,0.015,0,0.015,0,201.4,0,201.4,0,59100.0,0,59100.0,0,2.2,0,2.2,0,6.6,0,6.6,0,27000.0,0,27000.0,0,45.8,0,45.8,0
A07438,SOLVE008,571,581.0,,0.012,173.8,57680.0,3.4,27.6,10890.0,32.8,A,nan,0,9.2,1,0.012,0,0.012,0,173.8,0,173.8,0,57680.0,0,57680.0,0,3.4,0,3.4,0,27.6,0,27.6,0,10890.0,0,10890.0,0,32.8,0,32.8,0
A07520,SOLVE008,581,591.0,,0.011,228.4,,22.2,10.0,24620.0,26.8,A,nan,0,9.2,1,0.011,0,0.011,0,228.4,0,228.4,0,nan,0,49020.0,1,22.2,0,22.2,0,10.0,0,10.0,0,24620.0,0,24620.0,0,26.8,0,26.8,0
A08474,SOLVE008,591,601.0,,<0.005,109.2,43460.0,4.8,9.2,11190.0,48.6,A,nan,0,9.2,1,<0.005,1,0.0035355339059327372,0,109.2,0,109.2,0,43460.0,0,43460.0,0,4.8,0,4.8,0,9.2,0,9.2,0,11190.0,0,11190.0,0,48.6,0,48.6,0
A07608,SOLVE008,601,611.0,,0.01,195.0,52300.0,17.0,10.4,33360.0,30.8,A,nan,0,9.2,1,0.01,0,0.01,0,195.0,0,195.0,0,52300.0,0,52300.0,0,17.0,0,17.0,0,10.4,0,10.4,0,33360.0,0,33360.0,0,30.8,0,30.8,0
A08464,SOLVE008,611,621.0,,<0.005,100.0,41740.0,2.6,14.4,13380.0,33.0,A,nan,0,9.2,1,<0.005,1,0.0035355339059327372,0,100.0,0,100.0,0,41740.0,0,41740.0,0,2.6,0,2.6,0,14.4,0,14.4,0,13380.0,0,13380.0,0,33.0,0,33.0,0
